RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,11/30/2022,1/31/2023,10/31/2023
102001,0,United States,country,,10/31/2022,0.1,0.1,0.8
394913,1,"New York, NY",msa,NY,10/31/2022,-0.2,-0.7,-1.7
753899,2,"Los Angeles, CA",msa,CA,10/31/2022,-0.4,-0.7,-2.1
394463,3,"Chicago, IL",msa,IL,10/31/2022,-0.2,-0.7,-1.9
394514,4,"Dallas, TX",msa,TX,10/31/2022,0.1,0.1,1.3
394692,5,"Houston, TX",msa,TX,10/31/2022,0.1,0.1,0.2
395209,6,"Washington, DC",msa,VA,10/31/2022,0,-0.4,-1.8
394856,7,"Miami, FL",msa,FL,10/31/2022,0,0.1,1.9
394974,8,"Philadelphia, PA",msa,PA,10/31/2022,0,-0.3,0.1
394347,9,"Atlanta, GA",msa,GA,10/31/2022,0,0.1,2.7
394976,10,"Phoenix, AZ",msa,AZ,10/31/2022,-0.4,0,2.9
394404,11,"Boston, MA",msa,MA,10/31/2022,-0.2,-0.5,-1.2
395057,12,"San Francisco, CA",msa,CA,10/31/2022,-0.6,-1.4,-4
395025,13,"Riverside, CA",msa,CA,10/31/2022,-0.1,0.2,1.3
394532,14,"Detroit, MI",msa,MI,10/31/2022,-0.1,0.1,0.6
395078,15,"Seattle, WA",msa,WA,10/31/2022,0.1,-0.3,-0.2
394865,16,"Minneapolis, MN",msa,MN,10/31/2022,-0.1,-0.1,-0.8
395056,17,"San Diego, CA",msa,CA,10/31/2022,-0.1,0.5,-0.1
395148,18,"Tampa, FL",msa,FL,10/31/2022,-0.1,0,3.5
394530,19,"Denver, CO",msa,CO,10/31/2022,0.1,0.4,-0.2
395121,20,"St. Louis, MO",msa,MO,10/31/2022,0.1,-0.2,-0.3
394358,21,"Baltimore, MD",msa,MD,10/31/2022,-0.1,-0.7,-2.1
394458,22,"Charlotte, NC",msa,NC,10/31/2022,0.2,0.9,3.8
394943,23,"Orlando, FL",msa,FL,10/31/2022,-0.1,-0.2,2.1
395055,24,"San Antonio, TX",msa,TX,10/31/2022,0.1,0.2,0.4
394998,25,"Portland, OR",msa,OR,10/31/2022,-0.2,-0.6,-1.7
395045,26,"Sacramento, CA",msa,CA,10/31/2022,-0.2,0.3,-0.3
394775,27,"Las Vegas, NV",msa,NV,10/31/2022,-0.6,-0.5,1.2
394982,28,"Pittsburgh, PA",msa,PA,10/31/2022,0,-0.3,-0.8
394355,29,"Austin, TX",msa,TX,10/31/2022,-0.8,-0.9,0.3
394466,30,"Cincinnati, OH",msa,OH,10/31/2022,0.2,0.2,1.3
394735,31,"Kansas City, MO",msa,MO,10/31/2022,0.1,0.3,1.2
394492,32,"Columbus, OH",msa,OH,10/31/2022,0.3,0.5,1.7
394705,33,"Indianapolis, IN",msa,IN,10/31/2022,0.3,0.4,2.7
394475,34,"Cleveland, OH",msa,OH,10/31/2022,0.1,-0.2,0.6
395059,35,"San Jose, CA",msa,CA,10/31/2022,-1,-1.1,-4
394902,36,"Nashville, TN",msa,TN,10/31/2022,-0.2,-0.5,1.2
395194,37,"Virginia Beach, VA",msa,VA,10/31/2022,0,-0.5,-0.9
395005,38,"Providence, RI",msa,RI,10/31/2022,0.1,0,0.6
394714,39,"Jacksonville, FL",msa,FL,10/31/2022,0.7,1,4.3
394862,40,"Milwaukee, WI",msa,WI,10/31/2022,-0.2,-0.7,0
394935,41,"Oklahoma City, OK",msa,OK,10/31/2022,0.2,-0.1,-0.2
395012,42,"Raleigh, NC",msa,NC,10/31/2022,-0.1,0.5,1.6
394849,43,"Memphis, TN",msa,TN,10/31/2022,0.3,0.8,2.8
395022,44,"Richmond, VA",msa,VA,10/31/2022,0.1,-0.1,-0.2
394910,45,"New Orleans, LA",msa,LA,10/31/2022,-0.1,-0.3,-1.7
394807,46,"Louisville, KY",msa,KY,10/31/2022,0,0,0.1
395053,47,"Salt Lake City, UT",msa,UT,10/31/2022,0,-0.1,2
394669,48,"Hartford, CT",msa,CT,10/31/2022,0.1,0,-0.6
394425,49,"Buffalo, NY",msa,NY,10/31/2022,0,-0.9,0.9
394388,50,"Birmingham, AL",msa,AL,10/31/2022,0.2,0.2,1
394640,51,"Grand Rapids, MI",msa,MI,10/31/2022,0.2,0.7,1.7
395031,52,"Rochester, NY",msa,NY,10/31/2022,0.1,0,0.3
395167,53,"Tucson, AZ",msa,AZ,10/31/2022,0.1,0.5,3.3
395169,54,"Tulsa, OK",msa,OK,10/31/2022,0.1,0.4,0.3
394619,55,"Fresno, CA",msa,CA,10/31/2022,0,0.2,1.2
753924,56,"Urban Honolulu, HI",msa,HI,10/31/2022,-0.2,-0.7,-2.6
394938,57,"Omaha, NE",msa,NE,10/31/2022,0.1,0,0.5
395238,58,"Worcester, MA",msa,MA,10/31/2022,0,-0.1,1
394415,59,"Bridgeport, CT",msa,CT,10/31/2022,-0.1,-1,-1.6
394653,60,"Greenville, SC",msa,SC,10/31/2022,0.4,0.6,2.5
394312,61,"Albuquerque, NM",msa,NM,10/31/2022,0.2,0.7,2
394357,62,"Bakersfield, CA",msa,CA,10/31/2022,0,0.2,0.6
394308,63,"Albany, NY",msa,NY,10/31/2022,0.1,-0.3,-0.2
394753,64,"Knoxville, TN",msa,TN,10/31/2022,0.4,0.6,4.2
394843,65,"McAllen, TX",msa,TX,10/31/2022,0.2,0.3,1.7
394367,66,"Baton Rouge, LA",msa,LA,10/31/2022,-0.3,-1.2,-3.6
753906,67,"North Port, FL",msa,FL,10/31/2022,-0.1,-0.4,2.2
394908,68,"New Haven, CT",msa,CT,10/31/2022,0.1,-0.2,0.8
394486,69,"Columbia, SC",msa,SC,10/31/2022,0.2,0.4,1.5
394318,70,"Allentown, PA",msa,PA,10/31/2022,0.1,0.2,1.4
394561,71,"El Paso, TX",msa,TX,10/31/2022,0.2,0.2,1
394952,72,"Oxnard, CA",msa,CA,10/31/2022,-0.2,-0.4,-1.4
394457,73,"Charleston, SC",msa,SC,10/31/2022,0.2,0.5,2
845158,74,"Dayton, OH",msa,OH,10/31/2022,0,-0.5,1.3
394440,75,"Cape Coral, FL",msa,FL,10/31/2022,-0.1,-0.2,2.5
394648,76,"Greensboro, NC",msa,NC,10/31/2022,0.2,0.5,2.8
394399,77,"Boise City, ID",msa,ID,10/31/2022,-0.5,-0.2,4.4
395134,78,"Stockton, CA",msa,CA,10/31/2022,-0.5,-0.5,0.9
394484,79,"Colorado Springs, CO",msa,CO,10/31/2022,0.1,-0.1,1.9
394798,80,"Little Rock, AR",msa,AR,10/31/2022,0.5,0.2,-1.4
394766,81,"Lakeland, FL",msa,FL,10/31/2022,-0.2,-0.4,2.7
394531,82,"Des Moines, IA",msa,IA,10/31/2022,0,-0.4,-1.1
394304,83,"Akron, OH",msa,OH,10/31/2022,0.1,-0.5,0.4
395115,84,"Springfield, MA",msa,MA,10/31/2022,0,-0.3,-0.2
394931,85,"Ogden, UT",msa,UT,10/31/2022,-0.2,-0.5,2.9
394528,86,"Deltona, FL",msa,FL,10/31/2022,-0.1,-0.2,3.2
395235,87,"Winston, NC",msa,NC,10/31/2022,0.3,0.9,3.5
394816,89,"Madison, WI",msa,WI,10/31/2022,-0.1,0,-0.3
395006,90,"Provo, UT",msa,UT,10/31/2022,0,0.4,3.1
394549,91,"Durham, NC",msa,NC,10/31/2022,0.1,0.4,2.9
395143,92,"Syracuse, NY",msa,NY,10/31/2022,0.1,-0.4,0.8
395224,93,"Wichita, KS",msa,KS,10/31/2022,0.2,0.1,0
395160,94,"Toledo, OH",msa,OH,10/31/2022,0.1,0,0.3
394352,95,"Augusta, GA",msa,GA,10/31/2022,0.2,0.4,1.7
394957,96,"Palm Bay, FL",msa,FL,10/31/2022,0.1,0.1,2.2
394711,97,"Jackson, MS",msa,MS,10/31/2022,0,-0.1,-1.5
394666,98,"Harrisburg, PA",msa,PA,10/31/2022,0.1,0,-0.2
395113,99,"Spokane, WA",msa,WA,10/31/2022,-0.1,-0.7,3.8
394460,100,"Chattanooga, TN",msa,TN,10/31/2022,0.1,0.7,3.1
395075,101,"Scranton, PA",msa,PA,10/31/2022,0.1,0.2,1.7
394871,102,"Modesto, CA",msa,CA,10/31/2022,-0.2,-0.6,-0.2
394590,103,"Fayetteville, AR",msa,AR,10/31/2022,-0.1,0.5,3.2
394770,104,"Lansing, MI",msa,MI,10/31/2022,0.1,0.2,0.7
394768,105,"Lancaster, PA",msa,PA,10/31/2022,0.2,0.4,0.8
394997,106,"Portland, ME",msa,ME,10/31/2022,0.2,0.1,2.2
395245,107,"Youngstown, OH",msa,OH,10/31/2022,0.2,-0.1,2.2
394589,108,"Fayetteville, NC",msa,NC,10/31/2022,0.3,0.5,2.1
394792,109,"Lexington, KY",msa,KY,10/31/2022,0.1,0.2,0.4
394898,110,"Myrtle Beach, SC",msa,SC,10/31/2022,0,-0.6,2.3
394971,111,"Pensacola, FL",msa,FL,10/31/2022,0.3,0.7,3.3
394995,112,"Port St. Lucie, FL",msa,FL,10/31/2022,0.1,0.1,3.2
395068,113,"Santa Rosa, CA",msa,CA,10/31/2022,-0.5,-0.8,-2.9
394761,114,"Lafayette, LA",msa,LA,10/31/2022,-0.4,-1,-3
394698,115,"Huntsville, AL",msa,AL,10/31/2022,0.1,0.4,2.9
395019,116,"Reno, NV",msa,NV,10/31/2022,-0.5,-0.6,-0.2
395116,117,"Springfield, MO",msa,MO,10/31/2022,0.1,0.3,2.8
395195,118,"Visalia, CA",msa,CA,10/31/2022,0.1,0.6,0.5
394746,119,"Killeen, TX",msa,TX,10/31/2022,0.1,0.1,2.9
394338,120,"Asheville, NC",msa,NC,10/31/2022,0.2,-0.1,2.1
395244,121,"York, PA",msa,PA,10/31/2022,0.1,-0.4,-0.2
395183,122,"Vallejo, CA",msa,CA,10/31/2022,-0.3,-0.5,-1
753917,123,"Santa Maria, CA",msa,CA,10/31/2022,-0.2,-0.1,0.7
395048,124,"Salem, OR",msa,OR,10/31/2022,0.2,0.3,1.9
395050,125,"Salinas, CA",msa,CA,10/31/2022,0,-0.3,-0.5
394502,126,"Corpus Christi, TX",msa,TX,10/31/2022,0,-0.2,-1.8
394870,127,"Mobile, AL",msa,AL,10/31/2022,0.2,-0.1,1
394421,128,"Brownsville, TX",msa,TX,10/31/2022,0.3,0.7,2.5
395051,129,"Salisbury, MD",msa,DE,10/31/2022,-0.1,-0.5,0.4
395015,130,"Reading, PA",msa,PA,10/31/2022,0.2,0.1,1
394658,131,"Gulfport, MS",msa,MS,10/31/2022,0.1,0,-0.1
394820,132,"Manchester, NH",msa,NH,10/31/2022,0.2,-0.1,1.3
394612,133,"Fort Wayne, IN",msa,IN,10/31/2022,0.2,0.3,1.5
394596,134,"Flint, MI",msa,MI,10/31/2022,0,-0.6,1.7
394327,135,"Anchorage, AK",msa,AK,10/31/2022,-0.2,-1,-4.3
394972,136,"Peoria, IL",msa,IL,10/31/2022,-0.1,-0.9,-3.4
394439,137,"Canton, OH",msa,OH,10/31/2022,0.2,-0.1,0.9
395070,138,"Savannah, GA",msa,GA,10/31/2022,0.3,0.6,2
394901,139,"Naples, FL",msa,FL,10/31/2022,0.2,0.5,2.8
395096,140,"Shreveport, LA",msa,LA,10/31/2022,-0.4,-1.6,-4.6
394372,141,"Beaumont, TX",msa,TX,10/31/2022,0,-0.1,-1.6
395146,142,"Tallahassee, FL",msa,FL,10/31/2022,0.1,0,0.5
394576,143,"Eugene, OR",msa,OR,10/31/2022,0,0,1.9
394520,144,"Davenport, IA",msa,IL,10/31/2022,-0.2,-0.7,-3.1
394927,145,"Ocala, FL",msa,FL,10/31/2022,0.3,0.9,4.8
394875,146,"Montgomery, AL",msa,AL,10/31/2022,0.1,-0.1,-0.9
394679,147,"Hickory, NC",msa,NC,10/31/2022,0.4,1.1,3
395164,148,"Trenton, NJ",msa,NJ,10/31/2022,0.2,-0.4,0
394332,149,"Ann Arbor, MI",msa,MI,10/31/2022,-0.1,-0.2,-1.4
