RegionID,SizeRank,RegionName,RegionType,StateName,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30
102001,0,United States,country,,180000.0,185000.0,185000.0,187009.0,193000.0,192500.0,189000.0,180000.0,178000.0,174000.0,170000.0,168000.0,166000.0,167300.0,166000.0,171500.0,179000.0,179000.0,177300.0,170000.0,168000.0,166900.0,170000.0,170000.0,165000.0,170000.0,166025.0,170000.0,175000.0,180000.0,179200.0,175000.0,169500.0,169000.0,170000.0,165000.0,162000.0,160000.0,162500.0,166000.0,172000.0,170000.0,168000.0,162500.0,160000.0,159280.0,159000.0,155000.0,153000.0,160000.0,165000.0,170500.0,179900.0,178000.0,175500.0,170280.0,169000.0,171000.0,172000.0,166000.0,165000.0,174900.0,179000.0,187000.0,195000.0,197000.0,193500.0,186000.0,185000.0,180000.0,185000.0,179500.0,178000.0,183000.0,187500.0,194000.0,200000.0,200000.0,199500.0,191500.0,189900.0,190000.0,190500.0,186500.0,188500.0,195000.0,200000.0,208000.0,214900.0,212000.0,209000.0,203000.0,199900.0,199900.0,204000.0,198000.0,195000.0,200350.0,209900.0,215000.0,222000.0,220000.0,218750.0,215000.0,214000.0,215000.0,214000.0,210000.0,210000.0,215000.0,221375.0,225000.0,235000.0,233000.0,230000.0,227000.0,225000.0,225000.0,225800.0,224900.0,227000.0,232000.0,235000.0,240000.0,247000.0,244000.0,240000.0,235000.0,232750.0,234900.0,233000.0,231000.0,230000.0,239900.0,245000.0,250000.0,258000.0,255000.0,253400.0,250000.0,250000.0,250000.0,250000.0,247785.0,250000.0,260000.0,260000.0,256000.0,265000.0,278000.0,280000.0,283166.0,285000.0,285500.0,285000.0,280000.0,285000.0,297500.0,310000.0,315000.0,325000.0,325000.0,325000.0,324000.0,325000.0,325000.0,325000.0,320000.0,330000.0,347000.0,360000.0,365000.0,365300.0,355000.0,349900.0,341000.0
394913,1,"New York, NY",msa,NY,404996.0,399000.0,399900.0,400000.0,405000.0,417000.0,420000.0,400000.0,385000.0,377500.0,374265.0,365228.0,365000.0,355000.0,350000.0,360000.0,363000.0,375000.0,377500.0,370000.0,365000.0,367500.0,352500.0,365000.0,372500.0,350000.0,360956.0,370000.0,370471.0,385000.0,400000.0,,,,362500.0,367500.0,373500.0,355000.0,365000.0,365000.0,370000.0,385000.0,380000.0,375000.0,355000.0,340000.0,340000.0,340000.0,335000.0,340000.0,350000.0,352000.0,375000.0,377000.0,370000.0,365000.0,355000.0,350000.0,350000.0,350000.0,340000.0,339950.0,336000.0,357500.0,371602.0,380000.0,390000.0,375000.0,363000.0,350000.0,354000.0,360000.0,354438.0,350000.0,349999.0,360000.0,375000.0,385000.0,390000.0,373100.0,360000.0,362000.0,360000.0,369000.0,360000.0,355000.0,360000.0,370000.0,385000.0,390000.0,394000.0,385000.0,369250.0,369900.0,371529.0,367500.0,370000.0,365000.0,365000.0,375000.0,390000.0,400000.0,402500.0,389000.0,385000.0,380000.0,375000.0,378000.0,380500.0,375000.0,385000.0,394000.0,410000.0,428000.0,419000.0,405000.0,387500.0,393725.0,390000.0,398000.0,392000.0,395000.0,399000.0,405000.0,420000.0,430000.0,425000.0,420000.0,400000.0,402500.0,397750.0,400000.0,400000.0,393800.0,395000.0,405000.0,425000.0,435000.0,425000.0,420000.0,415000.0,410000.0,415000.0,416000.0,420000.0,417500.0,425000.0,426000.0,438000.0,442500.0,450000.0,455000.0,465000.0,470000.0,466000.0,465250.0,475000.0,470000.0,485000.0,500000.0,519700.0,530000.0,530000.0,530000.0,515000.0,512000.0,512500.0,520000.0,515000.0,525000.0,540000.0,549000.0,570000.0,587000.0,585000.0,560000.0
753899,2,"Los Angeles, CA",msa,CA,505000.0,495750.0,500000.0,490000.0,482000.0,470000.0,450000.0,436000.0,434000.0,405000.0,410000.0,386000.0,402000.0,395000.0,390000.0,405000.0,420000.0,413000.0,405000.0,416000.0,400000.0,400000.0,395000.0,390000.0,380000.0,395000.0,390000.0,405000.0,395000.0,400000.0,395000.0,400000.0,380000.0,389000.0,383250.0,370000.0,370000.0,385000.0,382000.0,383000.0,390000.0,390000.0,375000.0,380000.0,360000.0,360000.0,355000.0,345000.0,350000.0,365000.0,378000.0,378000.0,384000.0,390000.0,388000.0,386250.0,386003.0,390000.0,405000.0,390000.0,400000.0,430000.0,460000.0,460000.0,475000.0,470500.0,467000.0,467000.0,460000.0,459500.0,469000.0,450000.0,469500.0,480000.0,485000.0,500000.0,499000.0,505000.0,508000.0,499000.0,495000.0,490500.0,490000.0,490000.0,500000.0,510000.0,522500.0,520000.0,530000.0,529000.0,527000.0,519000.0,512000.0,520000.0,525000.0,520000.0,525000.0,538621.0,550000.0,561250.0,562000.0,556000.0,560000.0,550500.0,555000.0,555000.0,548000.0,550000.0,550000.0,572500.0,580000.0,595000.0,600000.0,605000.0,600000.0,600000.0,590000.0,605000.0,595000.0,589750.0,615000.0,620250.0,625000.0,640000.0,648500.0,640000.0,640000.0,625000.0,625000.0,630000.0,609000.0,600000.0,615000.0,629000.0,640000.0,640000.0,648000.0,662000.0,643000.0,645000.0,640000.0,640000.0,650000.0,648000.0,650000.0,670000.0,655000.0,650000.0,675000.0,710000.0,720000.0,730000.0,730000.0,725000.0,725000.0,720000.0,745000.0,772000.0,800000.0,817500.0,825000.0,820000.0,825000.0,825000.0,825000.0,830000.0,843250.0,830000.0,865000.0,900000.0,935000.0,935000.0,915000.0,890000.0,878000.0,865000.0
394463,3,"Chicago, IL",msa,IL,238500.0,237500.0,240000.0,240000.0,250000.0,255000.0,251000.0,242500.0,230000.0,227000.0,220000.0,215000.0,212250.0,219000.0,220000.0,222000.0,225000.0,229000.0,226000.0,218000.0,210000.0,204500.0,202000.0,204100.0,195000.0,208000.0,207500.0,210000.0,220000.0,215000.0,225536.0,201000.0,203000.0,190000.0,195000.0,193000.0,189000.0,183000.0,190000.0,194000.0,202500.0,204000.0,205000.0,180000.0,174000.0,165000.0,165000.0,160000.0,152500.0,165000.0,180000.0,185000.0,202500.0,200000.0,195000.0,185000.0,168000.0,174000.0,167500.0,165000.0,154800.0,165000.0,185000.0,195000.0,217000.0,220000.0,215000.0,200000.0,192000.0,185000.0,185000.0,180000.0,172000.0,184000.0,200000.0,210000.0,226500.0,222000.0,222500.0,209000.0,195000.0,192000.0,190000.0,185000.0,183000.0,200000.0,212000.0,222000.0,228500.0,225000.0,220000.0,212500.0,204000.0,200000.0,197000.0,190000.0,186000.0,201825.0,222000.0,226250.0,231000.0,230000.0,223000.0,210000.0,208000.0,206000.0,205000.0,204000.0,199900.0,220000.0,229500.0,234950.0,241000.0,237500.0,230000.0,220000.0,216000.0,216000.0,215000.0,215000.0,217500.0,230000.0,237000.0,240000.0,248700.0,243500.0,232900.0,227000.0,222000.0,220000.0,220000.0,216500.0,220000.0,233000.0,238000.0,245000.0,250000.0,249000.0,240000.0,231418.0,230000.0,230000.0,226000.0,220000.0,225000.0,242500.0,256000.0,248000.0,250000.0,259900.0,267000.0,260000.0,265000.0,257000.0,255000.0,250000.0,249500.0,261000.0,277000.0,289000.0,290500.0,290000.0,289000.0,280000.0,278000.0,277000.0,273000.0,269610.0,275000.0,285000.0,305000.0,310000.0,325000.0,310000.0,302000.0,290000.0
394514,4,"Dallas, TX",msa,TX,137000.0,144000.0,143900.0,145517.0,154825.0,155361.0,150000.0,142000.0,140100.0,135000.0,133000.0,125900.0,134000.0,138000.0,137000.0,147000.0,155000.0,152000.0,152500.0,144900.0,140000.0,140000.0,136900.0,129444.0,137850.0,144000.0,148000.0,148000.0,153000.0,152900.0,153850.0,145701.0,139000.0,141000.0,145000.0,138000.0,138000.0,138000.0,140000.0,149500.0,150000.0,152250.0,152000.0,143500.0,140000.0,137500.0,145000.0,136000.0,141813.0,150000.0,153000.0,160000.0,165000.0,163000.0,160000.0,158000.0,152000.0,153000.0,155000.0,149553.0,152000.0,164500.0,172000.0,177000.0,182000.0,184900.0,178100.0,173000.0,171000.0,168000.0,170000.0,159900.0,168000.0,178000.0,179800.0,185375.0,194000.0,192000.0,190000.0,181000.0,180500.0,183000.0,186000.0,179400.0,182250.0,194500.0,201900.0,210000.0,215000.0,212500.0,209000.0,199900.0,198000.0,196900.0,203000.0,194000.0,203500.0,213500.0,216400.0,230000.0,236000.0,227300.0,228950.0,224000.0,224900.0,227000.0,225000.0,222500.0,230000.0,237500.0,243225.0,252425.0,252000.0,247400.0,250000.0,240000.0,240000.0,240000.0,245000.0,235000.0,249000.0,255000.0,259900.0,267000.0,272900.0,265000.0,260000.0,252000.0,249997.0,249900.0,251078.0,240000.0,250000.0,260000.0,261000.0,274000.0,276050.0,270000.0,270000.0,262500.0,265000.0,260000.0,265000.0,260000.0,264900.0,274000.0,280000.0,272000.0,285000.0,295000.0,295000.0,295000.0,299900.0,299900.0,295000.0,290000.0,309000.0,320000.0,330000.0,350000.0,355000.0,355000.0,353500.0,350000.0,353000.0,352300.0,360000.0,355500.0,368000.0,387315.0,415000.0,425000.0,424000.0,410000.0,400000.0,389000.0
394692,5,"Houston, TX",msa,TX,143000.0,143000.0,143000.0,149500.0,153000.0,154000.0,153500.0,149900.0,136000.0,130000.0,128000.0,125000.0,127150.0,138350.0,142500.0,148900.0,157500.0,159000.0,155700.0,151000.0,143900.0,143000.0,139950.0,137800.0,137000.0,145500.0,147900.0,145900.0,152000.0,152000.0,150375.0,145000.0,141369.0,142950.0,150000.0,134000.0,138700.0,145000.0,139700.0,147900.0,155000.0,150000.0,151500.0,145000.0,142750.0,142500.0,147000.0,131500.0,131250.0,145000.0,153600.0,157000.0,165000.0,160000.0,153750.0,151500.0,152000.0,155000.0,155000.0,144500.0,147000.0,160000.0,167500.0,172000.0,180000.0,179900.0,175000.0,174500.0,166825.0,166250.0,169900.0,163000.0,168500.0,170000.0,177000.0,180000.0,188000.0,188500.0,194850.0,185000.0,180000.0,180000.0,187500.0,180000.0,181250.0,190000.0,191500.0,204000.0,208000.0,205000.0,200500.0,191630.0,189000.0,183000.0,192900.0,186000.0,186500.0,194413.0,200000.0,210000.0,215000.0,216000.0,209880.0,205000.0,200000.0,205000.0,206500.0,197000.0,200000.0,212500.0,214948.0,220000.0,225000.0,220000.0,216700.0,217500.0,210500.0,210000.0,210000.0,204700.0,211000.0,217000.0,227000.0,230000.0,230000.0,230000.0,225000.0,219900.0,219900.0,218000.0,221563.0,212000.0,217500.0,227000.0,230000.0,239200.0,242050.0,238000.0,235500.0,229900.0,225000.0,230000.0,234765.0,223350.0,230000.0,235000.0,239900.0,235000.0,250000.0,260000.0,259900.0,255000.0,257200.0,260000.0,264000.0,253000.0,265000.0,283900.0,288000.0,300000.0,310000.0,301000.0,300000.0,294900.0,295000.0,305000.0,307320.0,299667.0,315000.0,320000.0,331950.0,347975.0,347000.0,340000.0,329000.0,325000.0
395209,6,"Washington, DC",msa,VA,350000.0,350000.0,353750.0,365000.0,363000.0,375000.0,360000.0,329950.0,310000.0,308000.0,299900.0,310000.0,290000.0,296903.0,300000.0,312988.0,320000.0,335000.0,325000.0,303000.0,295000.0,290000.0,290000.0,277500.0,275000.0,285000.0,310000.0,312000.0,315000.0,340000.0,316500.0,319000.0,317000.0,320000.0,319000.0,293750.0,309900.0,310000.0,320000.0,345000.0,340000.0,350000.0,338500.0,324000.0,299900.0,307550.0,300500.0,290000.0,290000.0,318000.0,330000.0,355000.0,360000.0,363500.0,345000.0,330000.0,323000.0,330000.0,329000.0,320000.0,315000.0,340000.0,355000.0,375000.0,385000.0,381350.0,370000.0,350000.0,349900.0,345000.0,349900.0,335000.0,335000.0,345000.0,359900.0,390000.0,385000.0,390000.0,375000.0,350000.0,356000.0,350000.0,365000.0,340000.0,350000.0,367500.0,375000.0,390000.0,385000.0,380000.0,365000.0,360000.0,355000.0,350000.0,352000.0,342900.0,350275.0,350000.0,375000.0,390000.0,385000.0,385000.0,375000.0,360000.0,360000.0,350250.0,365000.0,353000.0,350000.0,360000.0,385000.0,399000.0,399000.0,400000.0,385000.0,369000.0,369900.0,365000.0,380000.0,360000.0,363000.0,385000.0,400000.0,410000.0,409250.0,405000.0,399500.0,380000.0,375000.0,380000.0,389900.0,370000.0,380000.0,399000.0,400000.0,418638.0,419000.0,415000.0,406000.0,391000.0,390000.0,405000.0,402000.0,375000.0,400000.0,425000.0,433500.0,429900.0,430000.0,453825.0,450000.0,440000.0,443750.0,438888.0,440000.0,416000.0,413000.0,445000.0,470000.0,495000.0,490000.0,490000.0,480000.0,460000.0,465000.0,462000.0,465000.0,434950.0,450000.0,490000.0,525000.0,540000.0,529000.0,520000.0,500000.0,470000.0
394856,7,"Miami, FL",msa,FL,245000.0,245000.0,245000.0,245000.0,250000.0,250000.0,250000.0,225000.0,220500.0,212500.0,210000.0,188000.0,188750.0,180000.0,170000.0,175000.0,186000.0,193000.0,180000.0,180000.0,169300.0,169250.0,170000.0,160000.0,157500.0,160000.0,153000.0,164000.0,169000.0,160000.0,164000.0,156500.0,157000.0,155000.0,150000.0,145000.0,144900.0,133250.0,145000.0,154300.0,155693.0,152500.0,150000.0,144000.0,140000.0,142500.0,144000.0,139900.0,140000.0,140000.0,147000.0,156000.0,165000.0,165000.0,163000.0,163000.0,160000.0,165000.0,168000.0,160000.0,160000.0,165000.0,178000.0,187000.0,199000.0,200000.0,204000.0,195000.0,187000.0,195000.0,197000.0,189000.0,185000.0,197000.0,199500.0,220000.0,225000.0,230000.0,220000.0,215000.0,216500.0,219900.0,220000.0,214200.0,215000.0,220500.0,222400.0,235000.0,245000.0,240000.0,235000.0,230000.0,225000.0,222000.0,232000.0,225000.0,225000.0,230000.0,235000.0,244000.0,250000.0,250000.0,244000.0,247000.0,242000.0,240000.0,245000.0,239900.0,240000.0,246000.0,252000.0,254900.0,270000.0,265000.0,265000.0,260000.0,251000.0,255000.0,261150.0,257500.0,255000.0,265000.0,263500.0,270000.0,279000.0,271000.0,270000.0,265200.0,269900.0,274700.0,269900.0,263000.0,265000.0,278000.0,274950.0,280000.0,289000.0,290000.0,288000.0,280000.0,285000.0,290000.0,286200.0,285000.0,285000.0,300000.0,305000.0,305000.0,310000.0,320000.0,325000.0,325000.0,323000.0,325000.0,328000.0,330000.0,335000.0,335000.0,349900.0,350000.0,358000.0,361000.0,360000.0,359000.0,365000.0,365000.0,375000.0,380000.0,385000.0,400000.0,406000.0,425000.0,429450.0,425000.0,419250.0,420000.0
394974,8,"Philadelphia, PA",msa,PA,202000.0,210000.0,210000.0,220000.0,225000.0,232500.0,233000.0,220000.0,209000.0,211000.0,200000.0,198000.0,199000.0,197700.0,200000.0,210000.0,219000.0,220000.0,225900.0,212000.0,201000.0,200925.0,203000.0,200000.0,205500.0,200000.0,209000.0,210000.0,219000.0,230000.0,225000.0,220500.0,210000.0,207000.0,205000.0,201000.0,202000.0,193163.0,200000.0,200000.0,220838.0,224900.0,219900.0,205803.0,200000.0,196500.0,198250.0,190875.0,190000.0,185500.0,195000.0,210000.0,220000.0,225000.0,224000.0,207000.0,205000.0,205000.0,205000.0,199999.0,190000.0,195000.0,205000.0,215000.0,230000.0,235000.0,235000.0,216300.0,209900.0,205000.0,203500.0,200000.0,190000.0,198400.0,204638.0,214900.0,230000.0,230000.0,229900.0,217000.0,212100.0,210000.0,210000.0,202000.0,190000.0,199000.0,208500.0,218000.0,230000.0,230500.0,225000.0,223800.0,212000.0,209900.0,205000.0,197000.0,196000.0,200000.0,210000.0,225000.0,237000.0,235000.0,230000.0,222000.0,220000.0,215000.0,220000.0,204250.0,203900.0,210000.0,224000.0,232000.0,245000.0,242000.0,237500.0,225000.0,221250.0,220000.0,225000.0,210000.0,212000.0,222000.0,225000.0,232000.0,245000.0,245000.0,245000.0,235000.0,225000.0,229900.0,228225.0,222000.0,217000.0,230000.0,234900.0,242500.0,258000.0,263000.0,259000.0,245000.0,235850.0,242000.0,245000.0,235000.0,235000.0,245000.0,264900.0,260000.0,265000.0,275000.0,280250.0,280000.0,270000.0,273000.0,275000.0,267000.0,260000.0,264900.0,275000.0,280500.0,295000.0,305000.0,310000.0,300000.0,290000.0,290000.0,285000.0,290000.0,280000.0,280000.0,299900.0,325000.0,340000.0,337000.0,330000.0,320000.0
394347,9,"Atlanta, GA",msa,GA,168650.0,171000.0,172000.0,177500.0,181650.0,178250.0,173000.0,160000.0,160000.0,150000.0,146500.0,149000.0,140000.0,146950.0,145500.0,150000.0,158900.0,165000.0,158000.0,148700.0,150000.0,148950.0,145000.0,135000.0,125050.0,135000.0,145000.0,150000.0,143658.0,142000.0,134000.0,131300.0,124900.0,122000.0,130000.0,129050.0,115000.0,114950.0,125000.0,120000.0,130000.0,135000.0,138000.0,130000.0,128750.0,126250.0,120000.0,120000.0,123000.0,135000.0,150000.0,155000.0,159900.0,160000.0,149894.0,142900.0,139003.0,141300.0,150000.0,136250.0,150000.0,165500.0,170000.0,185000.0,187150.0,190000.0,179500.0,168000.0,165000.0,160000.0,169900.0,159950.0,160000.0,173000.0,182500.0,190500.0,197000.0,193000.0,183500.0,175000.0,170850.0,171500.0,175000.0,168000.0,175000.0,184700.0,190500.0,205000.0,204000.0,201000.0,189900.0,185500.0,179900.0,183399.0,187900.0,178550.0,181000.0,190000.0,200000.0,205000.0,205000.0,205000.0,193000.0,185000.0,187000.0,190000.0,187500.0,185900.0,188925.0,200000.0,209000.0,211000.0,218000.0,217000.0,210000.0,205000.0,209645.0,207249.0,212350.0,209900.0,216500.0,224500.0,232000.0,239000.0,239000.0,234900.0,225000.0,227290.0,227000.0,222000.0,224900.0,219900.0,222500.0,237000.0,240000.0,250000.0,255000.0,251500.0,244500.0,242000.0,240000.0,242000.0,245000.0,236000.0,247000.0,257000.0,265000.0,254000.0,263000.0,275000.0,275500.0,275000.0,279000.0,276500.0,277000.0,275000.0,281000.0,299900.0,313200.0,323500.0,333517.0,335000.0,325000.0,329900.0,339900.0,342900.0,340000.0,335000.0,342500.0,355000.0,372000.0,387500.0,391000.0,385000.0,375000.0,363000.0
